team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
NINJAS;Ahsoka Tano;7;3;42.86;3624;517.71;11;1.57;7;1;14;2;24;3.43;61;8.71;21;3;6;0.86;45.83;470.07;46.42;19364;2766.29;14760;2108.57;4604;657.71;161;23;390;55.71;3737;533.86;1980;282.86;1757;251;21;3;141;20.14;455.2;65.03;286.24;40.89;3402;486;1276;182.29;102;14.57;1585.53;3788876;541268;1068.3;152.61;1071.12;153.02;435.98;62.28;1380.38;197.2;1060.36;151.48;134.67;19.24;33.11;4.73;0.16;208;29.71;801;114.43;789.1;112.73;686.62;98.09;1888.78;269.83;1624.29;232.04;951.12;135.87;1195.82;170.83;803.73;114.82;575.86;82.27;2774.4;2712.87;2856.22;3663.98;10;1.43;8;1.14
BLACK JACKETS;Aiden76_____;6;0;0.00;1506;251;3;0.5;0;0;6;1;13;2.17;51;8.5;18;3;4;0.67;23.08;435.53;54.89;15052;2508.67;11361;1893.5;3691;615.17;137;22.83;322;53.67;3053;508.83;1968;328;1085;180.83;24;4;89;14.83;224.4;37.4;255.29;42.55;2139;356.5;2475;412.5;444;74;1614.65;3233273;538878.81;813.09;135.51;939.16;156.53;370.46;61.74;1104.28;184.05;882.17;147.03;136.27;22.71;37.77;6.29;0.12;303;50.5;554.5;92.42;818.6;136.43;683.44;113.91;1439.27;239.88;1410.3;235.05;712.42;118.74;1051.85;175.31;665.16;110.86;405.69;67.61;2687.67;2512.01;2836.84;3441.49;4;0.67;5;0.83
ONYX;AyJake;4;1;25.00;1940;485;3;0.75;1;0.25;13;3.25;7;1.75;40;10;12;3;3;0.75;42.86;402.82;52.42;9059;2264.75;6285;1571.25;2774;693.5;76;19;231;57.75;1813;453.25;1226;306.5;587;146.75;16;4;56;14;176.17;44.04;113.43;28.36;1013;253.25;1334;333.5;293;73.25;1492.94;2028558;507139.5;698.3;174.57;555.66;138.91;198.46;49.61;870.53;217.63;515.1;128.77;66.79;16.7;17.13;4.28;0.14;127;31.75;449.1;112.28;490.8;122.7;394.3;98.58;1058.11;264.53;1018.41;254.6;434.01;108.5;784.89;196.22;434.79;108.7;232.73;58.18;3072.26;3014.48;3123.69;3785.29;3;0.75;3;0.75
NECRO BLOODLUST;Classy;4;1;25.00;1160;290;1;0.25;2;0.5;4;1;10;2.5;40;10;11;2.75;3;0.75;10;369.91;47.18;9960;2490;7133;1783.25;2827;706.75;85;21.25;245;61.25;2123;530.75;1518;379.5;605;151.25;18;4.5;55;13.75;268.56;67.14;141.31;35.33;1110;277.5;1406;351.5;285;71.25;1533.53;2369174;592293.5;737.17;184.29;665.25;166.31;226.2;56.55;931.42;232.85;615.23;153.81;81.96;20.49;40.14;10.03;0.12;342;85.5;498.5;124.62;577.9;144.48;479.46;119.86;1149.17;287.29;1103.23;275.81;525.39;131.35;810.91;202.73;518.49;129.62;299.21;74.8;2736.38;2578.08;2875.33;3503.08;8;2;4;1
BLACK JACKETS;Cokilla.;3;0;0.00;955;318.33;2;0.67;0;0;4;1.33;4;1.33;26;8.67;9;3;4;1.33;50;374.16;48.29;6361;2120.33;4228;1409.33;2133;711;46;15.33;181;60.33;1169;389.67;727;242.33;442;147.33;8;2.67;40;13.33;136.83;45.61;63.93;21.31;520;173.33;433;144.33;82;27.33;1415.46;1391993;463997.66;557.24;185.75;407.27;135.76;80.84;26.95;593.85;197.95;374.68;124.89;76.82;25.61;22.07;7.36;0.1;222;74;368.9;122.97;301.5;100.5;284.75;94.92;760.6;253.53;760.75;253.58;284.6;94.87;579.82;193.27;304.84;101.61;160.7;53.57;2796.81;2630.43;2943.26;3515.71;2;0.67;2;0.67
NINJAS;Debo;7;3;42.86;2758;394;9;1.29;3;0.43;10;1.43;20;2.86;61;8.71;21;3;6;0.86;45;467.43;47.42;19977;2853.86;15028;2146.86;4949;707;170;24.29;432;61.71;2508;358.29;1297;185.29;1211;173;16;2.29;108;15.43;372.01;53.14;217.33;31.05;2735;390.71;1672;238.86;252;36;1613.96;3863306;551900.88;1018.37;145.48;1097.66;156.81;466.02;66.57;1405;200.71;1022.32;146.05;154.73;22.1;68.72;9.82;0.08;812;116;946.1;135.16;696.7;99.53;658.15;94.02;1923.9;274.84;1684.34;240.62;897.71;128.24;1244.99;177.86;829.31;118.47;507.76;72.54;3035.43;2952.35;3101.13;3729.09;11;1.57;5;0.71
BLACK JACKETS;Demo;3;0;0.00;730;243.33;0;0;0;0;7;2.33;7;2.33;25;8.33;9;3;2;0.67;0;375.91;53.8;6919;2306.33;4061;1353.67;2858;952.67;47;15.67;240;80;1342;447.33;694;231.33;648;216;7;2.33;56;18.67;89.84;29.95;79.2;26.4;673;224.33;725;241.67;28;9.33;1545.55;1564196;521398.66;484.7;161.57;416.24;138.75;170.78;56.93;621.49;207.16;408.07;136.02;42.15;14.05;21.26;7.09;0.11;198;66;390.7;130.23;271.2;90.4;263.59;87.86;808.13;269.38;733.35;244.45;338.37;112.79;551.49;183.83;340.24;113.41;179.98;59.99;2870.64;2953.97;2773.5;3382.23;2;0.67;2;0.67
ESK;Eblockdemo89;3;3;100.00;1036;345.33;3;1;3;1;3;1;8;2.67;17;5.67;4;1.33;2;0.67;37.5;358.92;52;6130;2043.33;4363;1454.33;1767;589;53;17.67;149;49.67;1011;337;646;215.33;365;121.67;8;2.67;34;11.33;91.92;30.64;107.11;35.7;307;102.33;953;317.67;168;56;1432.9;1403189;467729.66;538.75;179.58;411.07;137.02;93.58;31.19;642.62;214.21;330.31;110.1;70.44;23.48;14.58;4.86;0.11;127;42.33;340.6;113.53;316.1;105.37;256.65;85.55;786.74;262.25;631.71;210.57;411.67;137.22;460.5;153.5;328.52;109.51;254.36;84.79;3022.24;3012.34;3049.03;3801.88;1;0.33;3;1
ESK;Etro;3;3;100.00;1624;541.33;4;1.33;3;1;6;2;10;3.33;17;5.67;4;1.33;0;0;40;416.55;47.11;7239;2413;4699;1566.33;2540;846.67;59;19.67;212;70.67;2002;667.33;1040;346.67;962;320.67;13;4.33;76;25.33;116.36;38.79;78.41;26.14;1191;397;1172;390.67;259;86.33;1568.22;1546907;515635.66;443.01;147.67;460.61;153.54;145.81;48.6;586.3;195.43;390.42;130.14;72.7;24.23;15.19;5.06;0.08;198;66;334.8;111.6;361.7;120.57;296.42;98.81;753.01;251;632.82;210.94;416.6;138.87;452.55;150.85;347.41;115.8;249.46;83.15;2906.06;2783.32;3029.92;3771.82;4;1.33;1;0.33
BLACK JACKETS;FlaminSkvll;6;0;0.00;2117;352.83;3;0.5;3;0.5;9;1.5;17;2.83;51;8.5;18;3;8;1.33;17.65;325;51.59;11640;1940;6508;1084.67;5132;855.33;81;13.5;430;71.67;2323;387.17;1050;175;1273;212.17;12;2;110;18.33;118.02;19.67;188.84;31.47;510;85;1717;286.17;191;31.83;1478.74;2951195;491865.84;1080.27;180.04;817.9;136.32;223.42;37.24;1153.29;192.22;848.89;141.48;119.37;19.89;57.61;9.6;0.12;487;81.17;735.7;122.62;633.9;105.65;579.45;96.58;1542.13;257.02;1444.59;240.76;676.97;112.83;1110;185;629.38;104.9;382.17;63.69;2788.1;2724.37;2859.92;3474.71;3;0.5;3;0.5
